DrLipor_5min_b_ideal.csv,01/03/2022
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DER,Ex,1646183947.860553,0.22,0.1,0,0.0,0.1,1.0,1,0,1,1646183947.860553,1646183947.860553,0.001,0.22,0.11,0,0,0,0,0.24819347291981714,0.0,100000.0,Do nothing
DCM,Ex,1646183947.860561,0.17,0.1,0,0.0,0.1,1.0,1,0,1,1646183947.860561,1646183947.860561,0.001,0.17,0.05666666666666667,0,0,0,0,0.11782755761422424,0.0,100000.0,Do nothing
DERAS,Ex,1646183947.860563,0.42,0.1,0,0.0,0.1,1.0,1,0,1,1646183947.860563,1646183947.860563,0.001,0.42,0.105,0,0,0,0,0.1542724862054151,0.0,100000.0,Do nothing
DTM,Ex,1646183947.860566,0.28,0.1,0,0.0,0.1,1.0,1,0,1,1646183947.860566,1646183947.860566,0.001,0.28,0.05600000000000001,0,0,0,0,0.07483314773547883,0.0,100000.0,Do nothing
DER,Ex,1646184247.860568,0.26,0.2,0,0.0,0.6344171813296662,1.0,2,0,2,1646184247.860568,1646183947.860553,0.006666666332880673,0.26,0.135,300.0000150203705,0,0,0,0.13856406460551018,0.001,300.0000150203705,Do nothing
DCM,Ux,1646184247.860570,0.4,-0.9,0,0.1,0.1,0.0,1,1,2,1646184247.86057,1646183947.860561,0.006666666465335428,0.4,0.10571428571428572,300.000009059906,0,0,0,0.07259367238156005,0.001,300.000009059906,Do nothing
DERAS,Ux,1646184247.860572,0.17,-0.9,0,0.1,0.1,0.0,1,1,2,1646184247.860572,1646183947.860563,0.006666666465335428,0.17,0.113125,300.000009059906,0,0,0,0.12075654374460565,0.001,300.000009059906,Do nothing
DTM,Ux,1646184247.860574,0.31,-0.9,0,0.1,0.1,0.0,1,1,2,1646184247.860574,1646183947.860566,0.006666666486528189,0.31,0.08422222222222223,300.0000081062317,0,0,0,0.026177810790396085,0.001,300.0000081062317,Do nothing
DER,Ex,1646184547.860576,0.22,1.9032515439889985,0,0.0,0.10446901892657434,1.0,3,0,3,1646184547.860576,1646183947.860553,0.004999999809265144,0.22,0.14350000000000002,300.0000078678131,0,0,0,0.11775681155103797,0.006666666332880673,300.0000078678131,Do nothing
DCM,Ex,1646184547.860578,0.37,-0.8,0,0.03482300594908522,0.03482300594908522,0.33333333333333326,2,1,3,1646184547.860578,1646183947.860561,0.004999999856948856,0.37,0.12974025974025974,300.0000081062317,0,0,0,0.05652835169589279,0.006666666465335428,300.0000081062317,Do nothing
DERAS,Ex,1646184547.860580,0.45,-0.8,0,0.03482300596292264,0.03482300596292264,0.33333333333333326,2,1,3,1646184547.86058,1646183947.860563,0.004999999858935678,0.45,0.14119791666666667,300.0000078678131,0,0,0,0.030742084470246313,0.006666666465335428,300.0000078678131,Do nothing
DTM,Ex,1646184547.860582,0.34,-0.8,0,0.03482300589373555,0.03482300589373555,0.33333333333333326,2,1,3,1646184547.860582,1646183947.860566,0.004999999864896142,0.34,0.10389743589743591,300.0000081062317,0,0,0,0.03756437968451792,0.006666666486528189,300.0000081062317,Do nothing
DER,Ex,1646184847.860584,0.25,0.41787607570629737,0,0.0,0.12084616640742356,1.0,4,0,4,1646184847.860584,1646183947.860553,0.004444444291385609,0.25,0.15110714285714286,300.0000081062317,0,0,0,0.09785473647478415,0.006666666332880673,300.0000078678131,Do nothing
DCM,Ex,1646184847.860586,0.39,-0.24376104164359652,0,0.06042308245139925,0.06042308245139925,0.5,3,1,4,1646184847.860586,1646183947.860561,0.0044444443208199996,0.39,0.1470909090909091,300.0000078678131,0,0,0,0.05706488186367363,0.006666666465335428,300.0000078678131,Do nothing
DERAS,Ex,1646184847.860588,0.37,-0.24376104174045848,0,0.06042308240337929,0.06042308240337929,0.5,3,1,4,1646184847.860588,1646183947.860563,0.0044444443208199996,0.37,0.15549804687500002,300.0000081062317,0,0,0,0.06872227976508866,0.006666666465335428,300.0000078678131,Do nothing
