DrLipor_20min_c_ideal.csv,01/03/2022
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DER,Ex,1646184085.312572,0.24,0.1,0,0.0,0.1,1.0,1,0,1,1646184085.312572,1646184085.312572,0.001,0.24,0.12,0,0,0,0,0.24979991993593592,0.0,100000.0,Do nothing
DCM,Ex,1646184085.312580,0.19,0.1,0,0.0,0.1,1.0,1,0,1,1646184085.31258,1646184085.31258,0.001,0.19,0.06333333333333334,0,0,0,0,0.11669047376142866,0.0,100000.0,Do nothing
DERAS,Ex,1646184085.312583,0.31,0.1,0,0.0,0.1,1.0,1,0,1,1646184085.312583,1646184085.312583,0.001,0.31,0.0775,0,0,0,0,0.07874007874011812,0.0,100000.0,Do nothing
DTM,Ex,1646184085.312585,0.38,0.1,0,0.0,0.1,1.0,1,0,1,1646184085.312585,1646184085.312585,0.001,0.38,0.076,0,0,0,0,0.1307669683062202,0.0,100000.0,Do nothing
DER,Ex,1646185285.312588,0.42,0.2,0,0.0,0.1586043011621073,1.0,2,0,2,1646185285.312588,1646184085.312572,0.0016666666444804937,0.42,0.17,1200.0000159740448,0,0,0,0.09380831519646861,0.001,1200.0000159740448,Do nothing
DCM,Ex,1646185285.312590,0.35,0.2,0,0.0,0.1586043019814152,1.0,2,0,2,1646185285.31259,1646184085.31258,0.0016666666530900532,0.35,0.10428571428571429,1200.0000097751617,0,0,0,0.0256657390061179,0.001,1200.0000097751617,Do nothing
DERAS,Ex,1646185285.312592,0.19,0.2,0,0.0,0.15860430207595075,1.0,2,0,2,1646185285.312592,1646184085.312583,0.001666666654083464,0.19,0.09156249999999999,1200.000009059906,0,0,0,0.10013383900702955,0.001,1200.000009059906,Do nothing
DTM,Ex,1646185285.312594,0.22,0.2,0,0.0,0.1586043021074626,1.0,2,0,2,1646185285.312594,1646184085.312585,0.0016666666544146009,0.22,0.092,1200.0000088214874,0,0,0,0.08683317338436963,0.001,1200.0000088214874,Do nothing
DER,Ex,1646186485.312597,0.42,0.4758129034863219,0,0.0,0.1044690179821705,1.0,3,0,3,1646186485.312597,1646184085.312572,0.001249999986961484,0.42,0.195,1200.000009059906,0,0,0,0.1,0.0016666666444804937,1200.000009059906,Do nothing
DCM,Ex,1646186485.312599,0.4,0.47581290594424563,0,0.0,0.10446901771234084,1.0,3,0,3,1646186485.312599,1646184085.31258,0.001249999990190069,0.4,0.13116883116883118,1200.000009059906,0,0,0,0.03589305905480459,0.0016666666530900532,1200.000009059906,Do nothing
